date,time,ticker,mark,bid,ask
01/26/2022,09:30:35,ETH,2616.040000,2610.580000,2621.500000
01/26/2022,09:30:40,ETH,2613.345000,2607.790000,2618.900000
01/26/2022,09:30:45,ETH,2613.570000,2607.920000,2619.220000
01/26/2022,09:30:50,ETH,2614.053546,2608.467092,2619.640000
01/26/2022,09:30:55,ETH,2610.869570,2605.489140,2616.250000
01/26/2022,09:31:00,ETH,2610.020382,2604.770765,2615.270000
01/26/2022,09:31:05,ETH,2612.974853,2607.709707,2618.240000
01/26/2022,09:31:10,ETH,2612.325000,2606.670000,2617.980000
01/26/2022,09:31:15,ETH,2612.678791,2607.157583,2618.200000
01/26/2022,09:31:20,ETH,2611.134352,2605.468705,2616.800000
01/26/2022,09:31:25,ETH,2611.680000,2606.460000,2616.900000
01/26/2022,09:31:30,ETH,2613.524197,2608.130000,2618.918395
01/26/2022,09:31:35,ETH,2615.595000,2610.090000,2621.100000
01/26/2022,09:31:40,ETH,2614.070000,2608.540000,2619.600000
01/26/2022,09:31:45,ETH,2615.075000,2609.650000,2620.500000
01/26/2022,09:31:50,ETH,2615.350000,2609.690000,2621.010000
01/26/2022,09:31:55,ETH,2615.805000,2610.110000,2621.500000
01/26/2022,09:32:00,ETH,2616.958040,2611.456081,2622.460000
01/26/2022,09:32:05,ETH,2618.415000,2612.630000,2624.200000
01/26/2022,09:32:10,ETH,2621.807480,2616.014960,2627.600000
01/26/2022,09:32:15,ETH,2620.675000,2615.250000,2626.100000
01/26/2022,09:32:20,ETH,2619.115000,2613.430000,2624.800000
01/26/2022,09:32:25,ETH,2617.415000,2611.730000,2623.100000
01/26/2022,09:32:30,ETH,2618.012536,2612.425072,2623.600000
01/26/2022,09:32:35,ETH,2617.520000,2612.240000,2622.800000
01/26/2022,09:32:40,ETH,2617.740000,2612.080000,2623.400000
01/26/2022,09:32:45,ETH,2619.480000,2613.810000,2625.150000
01/26/2022,09:32:50,ETH,2620.420000,2614.750000,2626.090000
01/26/2022,09:32:55,ETH,2621.065330,2615.440660,2626.690000
01/26/2022,09:33:00,ETH,2620.330000,2614.660000,2626.000000
